Protein.Names,Exo1_92.1_Control_rep1,Exo1_92.1_Control_rep2,Exo2_IBUD_rep1,Exo2_IBUD_rep2,Exo3_Control_rep1,Exo3_Control_rep2,Exo4_IBUD_rep1,Exo4_IBUD_rep2,Exo5_Control_rep1,Exo5_Control_rep2,Exo6_IBUD_rep1,Exo6_IBUD_rep2
NHRF1_HUMAN,1.20E+05,1.24E+05,1.25E+05,1.36E+05,2.40E+05,2.70E+05,2.64E+05,3.08E+05,4.86E+05,5.20E+05,4.28E+05,5.15E+05
CHK1_HUMAN,,,,2.44E+03,2.27E+03,1.98E+03,1.73E+03,2.49E+03,2.79E+03,2.54E+03,2.67E+03,3.43E+03
TR10B_HUMAN,2.78E+04,3.14E+04,2.55E+04,2.97E+04,,,,,1.55E+04,1.78E+04,2.05E+04,2.50E+04
TPP1_HUMAN,1.56E+04,1.65E+04,2.21E+04,2.30E+04,4.25E+03,6.22E+03,8.72E+03,1.11E+04,1.01E+04,1.05E+04,1.97E+04,2.34E+04
TCRG1_HUMAN,7.40E+03,7.36E+03,7.13E+03,6.94E+03,1.08E+04,1.13E+04,1.17E+04,1.35E+04,5.93E+03,6.22E+03,6.78E+03,7.99E+03
NDC80_HUMAN,1.97E+04,,,1.12E+04,1.44E+04,1.57E+04,1.84E+04,1.81E+04,1.26E+04,1.39E+04,1.35E+04,1.56E+04
KIF3C_HUMAN,1.43E+04,1.47E+04,1.46E+04,1.26E+04,1.41E+04,1.37E+04,1.31E+04,1.19E+04,7.98E+03,4.90E+03,6.97E+03,
TNPO2_HUMAN,7.13E+03,7.07E+03,8.33E+03,6.97E+03,7.00E+03,6.35E+03,6.50E+03,8.85E+03,8.34E+03,1.02E+04,1.10E+04,1.56E+04
UN13B_HUMAN,4.60E+03,3.11E+03,3.55E+03,3.38E+03,2.90E+03,3.09E+03,3.04E+03,3.56E+03,3.16E+03,3.53E+03,4.17E+03,4.89E+03
RPC1_HUMAN,3.57E+03,5.68E+03,7.02E+03,8.01E+03,2.99E+03,3.13E+03,5.02E+03,4.79E+03,,4.81E+03,5.97E+03,7.94E+03
RASM_HUMAN,1.79E+04,2.17E+04,1.68E+04,1.81E+04,1.11E+04,1.65E+04,1.25E+04,1.78E+04,5.94E+04,6.41E+04,7.43E+04,7.50E+04
TSN4_HUMAN,1.58E+05,1.34E+05,1.26E+05,1.33E+05,2.30E+05,2.87E+05,2.56E+05,3.12E+05,2.24E+05,2.45E+05,2.10E+05,2.46E+05
PSA7_HUMAN,7.05E+04,7.21E+04,7.30E+04,8.27E+04,5.16E+04,6.10E+04,5.78E+04,6.32E+04,8.68E+04,8.77E+04,7.10E+04,8.30E+04
SCAM3_HUMAN,9.58E+04,9.05E+04,1.38E+05,1.35E+05,3.57E+04,4.38E+04,3.96E+04,4.48E+04,3.34E+04,3.97E+04,5.08E+04,5.76E+04
PPE1_HUMAN,2.19E+03,,,4.45E+03,,,,,,,,
OPLA_HUMAN,,,,,1.85E+03,2.79E+03,2.17E+03,1.83E+03,9.96E+02,1.28E+03,1.17E+03,
IFIT3_HUMAN,,,,,,,,,,,,9.75E+02
MGST3_HUMAN,1.11E+04,1.54E+04,1.67E+04,1.66E+04,,,,,4.38E+03,,,8.56E+03
TX1B3_HUMAN,1.10E+04,1.07E+04,1.57E+04,1.54E+04,3.60E+04,4.13E+04,3.59E+04,3.97E+04,1.44E+04,1.79E+04,1.94E+04,2.03E+04
GIPC1_HUMAN,7.07E+04,7.03E+04,8.15E+04,8.54E+04,1.71E+05,1.88E+05,1.69E+05,1.97E+05,1.38E+05,1.47E+05,1.52E+05,1.70E+05
LIN7A_HUMAN,7.65E+04,8.28E+04,7.68E+04,8.67E+04,,6.34E+04,,1.23E+05,3.57E+04,3.20E+04,3.35E+04,4.06E+04
IKKB_HUMAN,3.65E+03,3.96E+03,4.27E+03,3.90E+03,1.88E+03,2.45E+03,2.13E+03,2.82E+03,2.51E+03,2.84E+03,2.37E+03,2.58E+03
RGS12_HUMAN,,,1.92E+03,2.53E+03,3.08E+03,3.33E+03,2.24E+03,3.25E+03,3.17E+03,3.22E+03,3.99E+03,3.87E+03
HAT1_HUMAN,2.94E+03,2.69E+03,3.60E+03,5.39E+03,3.11E+03,4.22E+03,3.88E+03,5.20E+03,3.16E+03,3.79E+03,4.40E+03,5.45E+03
UB2L6_HUMAN,,,,3.94E+03,5.22E+03,4.98E+03,4.30E+03,4.41E+03,2.23E+03,,,
CSKP_HUMAN,3.87E+04,3.78E+04,3.27E+04,3.40E+04,5.58E+04,6.24E+04,5.21E+04,6.15E+04,1.97E+04,2.02E+04,2.05E+04,2.43E+04
CSKP_HUMAN,,,,,2.37E+03,1.82E+03,1.57E+03,2.23E+03,,,6.38E+02,6.69E+02
PLD2_HUMAN,6.49E+03,6.77E+03,5.76E+03,5.75E+03,1.01E+04,1.08E+04,1.19E+04,1.46E+04,1.79E+04,1.98E+04,2.27E+04,2.59E+04
ML12A_HUMAN;ML12B_HUMAN,7.79E+04,8.83E+04,1.13E+05,1.18E+05,9.61E+04,1.06E+05,8.95E+04,1.11E+05,1.51E+05,1.64E+05,1.75E+05,1.93E+05
HGS_HUMAN,2.58E+04,2.63E+04,3.10E+04,3.50E+04,4.84E+04,5.17E+04,6.17E+04,7.14E+04,2.46E+04,2.67E+04,2.79E+04,3.03E+04
AURKA_HUMAN,3.51E+03,4.05E+03,4.33E+03,4.23E+03,7.53E+03,9.29E+03,8.44E+03,1.00E+04,6.84E+03,8.61E+03,8.94E+03,9.87E+03
RAB7L_HUMAN,4.39E+04,4.34E+04,4.82E+04,5.38E+04,1.01E+04,1.37E+04,1.52E+04,1.61E+04,1.93E+04,1.81E+04,2.28E+04,2.34E+04
VP26C_HUMAN,2.20E+03,1.89E+03,5.21E+03,4.17E+03,1.46E+03,2.29E+03,2.34E+03,3.12E+03,1.38E+03,2.19E+03,1.69E+03,2.42E+03
MYPT1_HUMAN,2.11E+04,2.04E+04,2.43E+04,2.39E+04,1.63E+04,1.92E+04,1.85E+04,2.19E+04,2.37E+04,2.78E+04,2.99E+04,3.75E+04
GAK_HUMAN,7.72E+03,8.13E+03,9.87E+03,9.77E+03,6.47E+03,6.55E+03,7.77E+03,8.39E+03,6.12E+03,5.73E+03,6.42E+03,7.56E+03
HNRDL_HUMAN,1.98E+04,2.08E+04,2.60E+04,2.62E+04,1.41E+04,1.56E+04,1.91E+04,2.04E+04,1.75E+04,1.73E+04,1.99E+04,1.97E+04
XPO1_HUMAN,1.56E+04,1.78E+04,2.20E+04,2.17E+04,2.01E+04,2.25E+04,2.44E+04,2.85E+04,1.88E+04,2.10E+04,2.05E+04,2.18E+04
BTAF1_HUMAN,4.03E+03,2.62E+03,4.21E+03,3.71E+03,,1.45E+03,1.84E+03,1.30E+03,9.81E+02,7.55E+02,1.28E+03,1.10E+03
ARHGA_HUMAN,1.28E+04,1.12E+04,1.48E+04,1.37E+04,8.50E+03,7.73E+03,6.53E+03,8.32E+03,9.00E+03,1.03E+04,1.42E+04,1.56E+04
SPTN2_HUMAN,3.07E+03,4.12E+03,3.32E+03,3.45E+03,9.81E+02,,2.62E+03,2.52E+03,3.94E+03,5.19E+03,6.01E+03,7.08E+03
MAST4_HUMAN,,,,,,,,3.40E+03,,7.10E+03,8.58E+03,1.29E+04
SC16A_HUMAN,9.47E+03,7.95E+03,1.13E+04,1.00E+04,3.04E+03,3.86E+03,3.65E+03,4.88E+03,4.61E+03,4.83E+03,3.92E+03,5.74E+03
PLXB2_HUMAN,6.29E+04,6.28E+04,5.91E+04,5.88E+04,2.47E+04,2.56E+04,2.47E+04,2.83E+04,6.72E+04,7.01E+04,7.29E+04,7.96E+04
KHNYN_HUMAN,3.52E+03,4.01E+03,4.82E+03,5.70E+03,4.81E+03,5.81E+03,4.74E+03,5.78E+03,1.33E+04,1.42E+04,1.16E+04,1.35E+04
SR140_HUMAN,1.66E+04,1.50E+04,1.61E+04,1.02E+04,6.90E+03,5.43E+03,6.64E+03,5.95E+03,6.36E+03,6.25E+03,7.79E+03,8.59E+03
KIF3B_HUMAN,7.34E+03,7.45E+03,8.93E+03,8.69E+03,3.58E+03,3.06E+03,3.63E+03,4.13E+03,2.72E+03,3.78E+03,4.10E+03,5.53E+03
PUR4_HUMAN,1.22E+04,1.25E+04,1.52E+04,1.47E+04,1.54E+04,1.70E+04,1.62E+04,1.84E+04,1.72E+04,1.83E+04,1.72E+04,2.00E+04
MCF2L_HUMAN,2.95E+03,3.75E+03,4.56E+03,3.06E+03,,,,,,,3.13E+03,
ANR28_HUMAN,,,2.72E+03,1.93E+03,2.82E+03,2.84E+03,2.97E+03,3.23E+03,2.47E+03,2.47E+03,2.10E+03,2.38E+03
ARHGB_HUMAN,,2.78E+03,4.13E+03,3.40E+03,3.77E+03,4.25E+03,3.63E+03,4.73E+03,3.55E+03,3.15E+03,3.22E+03,4.91E+03
LSM1_HUMAN,1.17E+04,1.23E+04,1.24E+04,1.09E+04,7.51E+03,6.12E+03,7.18E+03,7.50E+03,8.13E+03,7.63E+03,7.76E+03,8.06E+03
NPC1_HUMAN,2.54E+04,2.32E+04,3.00E+04,2.92E+04,7.71E+03,8.23E+03,1.26E+04,1.28E+04,6.80E+03,6.78E+03,1.08E+04,1.08E+04
SCAM1_HUMAN,2.93E+04,2.77E+04,3.95E+04,4.49E+04,2.43E+04,2.40E+04,2.33E+04,2.59E+04,2.95E+04,3.28E+04,3.91E+04,4.54E+04
SCAM2_HUMAN,5.20E+04,4.26E+04,5.99E+04,5.42E+04,5.15E+04,5.61E+04,5.59E+04,6.21E+04,4.65E+04,4.96E+04,5.24E+04,5.57E+04
ARC1B_HUMAN,4.20E+04,3.67E+04,4.85E+04,4.51E+04,5.28E+04,5.52E+04,5.58E+04,5.92E+04,7.45E+04,7.31E+04,8.25E+04,8.57E+04
ARPC2_HUMAN,6.85E+04,6.90E+04,8.86E+04,8.08E+04,8.07E+04,8.89E+04,9.66E+04,1.05E+05,1.06E+05,1.08E+05,1.18E+05,1.38E+05
ARPC3_HUMAN,3.67E+04,3.57E+04,4.78E+04,5.08E+04,6.19E+04,6.24E+04,6.79E+04,7.07E+04,7.39E+04,8.37E+04,8.81E+04,1.01E+05
BET1_HUMAN,8.88E+03,1.06E+04,9.54E+03,7.53E+03,1.32E+03,1.76E+03,3.79E+03,4.52E+03,3.32E+03,4.13E+03,5.40E+03,6.31E+03
RPAC1_HUMAN,2.54E+04,2.41E+04,3.27E+04,3.32E+04,1.46E+04,1.68E+04,1.42E+04,1.52E+04,9.08E+03,9.70E+03,1.05E+04,1.16E+04
PLS1_HUMAN,4.98E+04,5.76E+04,4.57E+04,4.98E+04,6.53E+04,7.04E+04,7.52E+04,8.80E+04,6.14E+04,6.72E+04,7.19E+04,9.26E+04
PGRC2_HUMAN,1.51E+04,1.40E+04,1.63E+04,2.23E+04,4.33E+03,4.97E+03,4.79E+03,6.52E+03,1.01E+04,1.28E+04,1.25E+04,1.50E+04
CETN3_HUMAN,5.17E+03,5.54E+03,5.28E+03,5.68E+03,1.62E+03,1.59E+03,1.37E+03,2.19E+03,1.57E+03,,2.16E+03,
CTDSL_HUMAN,8.90E+03,1.08E+04,9.31E+03,1.00E+04,2.20E+04,2.34E+04,2.16E+04,2.67E+04,1.51E+04,1.59E+04,1.85E+04,2.23E+04
EPHB6_HUMAN,1.27E+04,5.56E+03,4.66E+03,4.75E+03,2.56E+03,2.16E+03,3.01E+03,,3.02E+03,2.87E+03,3.06E+03,2.58E+03
PFD6_HUMAN,1.62E+04,1.71E+04,2.27E+04,2.58E+04,3.03E+04,3.27E+04,2.88E+04,3.37E+04,2.91E+04,2.99E+04,2.60E+04,3.17E+04
WDR46_HUMAN,7.47E+03,6.11E+03,8.58E+03,6.72E+03,,3.41E+03,2.25E+03,2.18E+03,,,3.25E+03,3.86E+03
NKRF_HUMAN,1.43E+04,1.48E+04,1.30E+04,1.32E+04,2.95E+03,2.18E+03,3.95E+03,4.71E+03,3.89E+03,4.59E+03,1.16E+04,1.29E+04
LAMA5_HUMAN,8.86E+04,8.58E+04,7.37E+04,7.42E+04,4.07E+03,4.63E+03,6.07E+03,8.07E+03,3.03E+04,3.08E+04,4.98E+04,5.61E+04
MATN3_HUMAN,,,9.64E+02,1.10E+03,2.39E+03,3.13E+03,2.89E+03,3.00E+03,8.97E+02,,1.05E+03,1.17E+03
VGF_HUMAN,4.30E+04,4.71E+04,9.53E+04,1.01E+05,5.93E+03,5.84E+03,8.83E+03,1.16E+04,5.88E+03,5.51E+03,6.59E+03,7.74E+03
OBRG_HUMAN,,6.93E+02,,6.94E+02,8.13E+02,6.55E+02,4.67E+02,4.60E+02,6.54E+02,6.86E+02,7.30E+02,6.43E+02
RER1_HUMAN,1.43E+04,1.15E+04,1.27E+04,1.57E+04,2.28E+03,2.46E+03,4.50E+03,6.16E+03,7.55E+03,8.13E+03,1.39E+04,1.77E+04
SURF4_HUMAN,2.64E+04,2.46E+04,3.19E+04,3.16E+04,7.84E+03,9.36E+03,1.25E+04,1.42E+04,9.51E+03,1.26E+04,1.99E+04,2.15E+04
SPTC1_HUMAN,8.65E+03,9.78E+03,1.22E+04,1.16E+04,3.21E+03,3.46E+03,4.51E+03,4.17E+03,3.46E+03,3.72E+03,4.78E+03,4.88E+03
SPTC2_HUMAN,3.70E+03,5.97E+03,4.27E+03,5.60E+03,,,,,2.17E+03,2.03E+03,2.49E+03,3.57E+03
OGT1_HUMAN,7.11E+03,9.89E+03,1.02E+04,9.78E+03,1.15E+04,1.16E+04,1.02E+04,1.21E+04,1.60E+04,1.69E+04,2.00E+04,2.14E+04
OGT1_HUMAN,,,,9.05E+02,1.16E+03,1.48E+03,9.72E+02,1.47E+03,2.84E+03,2.34E+03,3.02E+03,3.21E+03
PMM2_HUMAN,2.06E+04,2.45E+04,2.28E+04,2.08E+04,3.15E+04,3.49E+04,3.23E+04,4.24E+04,2.13E+04,2.34E+04,2.59E+04,2.85E+04
TM9S1_HUMAN,6.01E+03,,,3.39E+03,3.24E+03,2.55E+03,3.58E+03,2.20E+03,4.22E+03,3.79E+03,3.52E+03,5.10E+03
INP4B_HUMAN,2.16E+04,1.61E+04,1.86E+04,1.79E+04,2.45E+04,2.62E+04,2.46E+04,3.17E+04,1.67E+04,1.42E+04,1.75E+04,1.64E+04
TRI18_HUMAN,1.28E+04,1.16E+04,1.34E+04,1.31E+04,9.56E+03,1.05E+04,8.41E+03,9.41E+03,1.23E+04,1.29E+04,1.37E+04,1.44E+04
GPR37_HUMAN,,7.01E+03,7.09E+03,6.25E+03,1.31E+04,1.25E+04,1.14E+04,1.47E+04,3.02E+04,3.02E+04,3.23E+04,2.46E+04
PPM1G_HUMAN,9.05E+03,9.35E+03,1.11E+04,1.04E+04,8.94E+03,1.04E+04,1.14E+04,1.22E+04,8.25E+03,9.54E+03,8.73E+03,9.59E+03
SHIP2_HUMAN,7.02E+03,7.15E+03,8.32E+03,1.04E+04,4.16E+03,3.90E+03,3.61E+03,5.28E+03,6.93E+03,7.68E+03,7.76E+03,9.28E+03
EIF3D_HUMAN,3.09E+04,3.15E+04,4.41E+04,4.29E+04,1.90E+04,2.02E+04,2.03E+04,2.20E+04,2.11E+04,2.26E+04,2.31E+04,2.59E+04
EIF3H_HUMAN,1.93E+04,1.88E+04,2.45E+04,2.34E+04,1.07E+04,1.27E+04,1.28E+04,1.40E+04,1.72E+04,1.74E+04,1.60E+04,1.83E+04
MOT5_HUMAN,,,,,1.99E+03,2.63E+03,2.11E+03,2.72E+03,5.98E+03,5.51E+03,5.86E+03,6.70E+03
MOT6_HUMAN,,,,,,4.54E+03,4.12E+03,4.54E+03,,4.04E+03,5.10E+03,4.90E+03
NVL_HUMAN,,,2.84E+03,3.19E+03,5.56E+02,,,1.49E+03,1.18E+03,1.79E+03,1.67E+03,2.28E+03
BIRC5_HUMAN,8.72E+03,8.04E+03,6.22E+03,7.05E+03,8.66E+03,8.67E+03,8.90E+03,9.06E+03,1.29E+04,1.26E+04,1.46E+04,1.35E+04
NCAM2_HUMAN,1.60E+04,1.57E+04,1.34E+04,1.45E+04,,,,,1.56E+04,1.54E+04,1.59E+04,1.74E+04
IPO8_HUMAN,1.87E+03,2.11E+03,2.77E+03,2.33E+03,5.54E+03,5.71E+03,5.40E+03,6.59E+03,1.65E+03,2.11E+03,2.19E+03,2.82E+03
STX7_HUMAN,3.61E+05,3.58E+05,4.42E+05,4.53E+05,1.42E+05,1.51E+05,1.64E+05,1.83E+05,9.11E+04,9.25E+04,1.22E+05,1.24E+05
MOT7_HUMAN,1.07E+05,1.13E+05,1.26E+05,1.25E+05,9.77E+04,9.92E+04,1.39E+05,1.42E+05,2.30E+05,2.25E+05,2.34E+05,2.36E+05
MOT4_HUMAN,,4.39E+03,3.57E+03,8.90E+03,1.52E+05,1.57E+05,1.59E+05,1.79E+05,8.69E+04,8.47E+04,9.46E+04,1.07E+05
COPT1_HUMAN,2.94E+04,3.01E+04,2.86E+04,3.73E+04,2.78E+04,4.53E+04,4.56E+04,6.79E+04,6.42E+04,8.29E+04,9.06E+04,1.07E+05
MRP4_HUMAN,6.25E+04,6.73E+04,6.49E+04,5.89E+04,3.36E+04,3.31E+04,3.90E+04,4.13E+04,3.83E+04,3.94E+04,4.44E+04,4.94E+04
MRP5_HUMAN,3.77E+04,3.68E+04,3.57E+04,3.57E+04,1.38E+04,1.51E+04,1.61E+04,1.77E+04,1.73E+04,1.96E+04,2.31E+04,2.61E+04
TLR3_HUMAN,,3.76E+03,3.30E+03,3.43E+03,,1.11E+03,,2.26E+03,3.67E+03,3.75E+03,4.11E+03,4.25E+03
CAN5_HUMAN,3.55E+04,3.83E+04,3.07E+04,2.66E+04,1.80E+04,2.00E+04,1.91E+04,2.27E+04,4.30E+04,4.46E+04,4.30E+04,4.44E+04
GLYG2_HUMAN,2.40E+04,2.31E+04,1.93E+04,1.99E+04,4.28E+03,5.52E+03,4.47E+03,7.18E+03,2.39E+03,3.52E+03,3.52E+03,3.24E+03
YKT6_HUMAN,5.63E+04,5.47E+04,5.48E+04,6.15E+04,7.57E+04,7.78E+04,8.84E+04,9.89E+04,9.93E+04,1.10E+05,1.24E+05,1.29E+05
ARPC5_HUMAN,4.33E+04,4.43E+04,6.50E+04,5.68E+04,8.53E+04,8.78E+04,8.58E+04,7.98E+04,8.05E+04,8.26E+04,9.90E+04,1.20E+05
CFLAR_HUMAN,,,2.56E+03,,,,,4.50E+03,1.98E+03,3.22E+03,4.45E+03,5.76E+03
PDPK1_HUMAN,4.78E+03,4.72E+03,5.36E+03,5.79E+03,3.27E+03,3.88E+03,3.57E+03,3.78E+03,3.68E+03,3.15E+03,2.87E+03,3.05E+03
TPSN_HUMAN,1.77E+04,1.89E+04,2.54E+04,2.56E+04,,,2.37E+03,,2.52E+03,3.27E+03,5.02E+03,
RGS5_HUMAN,,8.43E+03,1.01E+04,9.11E+03,7.79E+03,6.72E+03,6.29E+03,6.58E+03,1.12E+04,8.95E+03,1.15E+04,1.14E+04
DHX15_HUMAN,5.29E+04,5.39E+04,6.61E+04,6.89E+04,1.67E+04,1.96E+04,2.28E+04,2.48E+04,2.11E+04,2.19E+04,2.90E+04,3.02E+04
MCES_HUMAN,,2.41E+03,5.57E+03,3.26E+03,3.12E+03,3.37E+03,3.48E+03,3.60E+03,2.92E+03,2.65E+03,3.90E+03,
ZZEF1_HUMAN,4.83E+02,,1.68E+03,1.99E+03,,1.35E+03,1.16E+03,1.62E+03,1.53E+03,7.57E+02,1.81E+03,1.97E+03
ASAP2_HUMAN,,,1.55E+03,2.66E+03,2.99E+03,2.71E+03,2.57E+03,3.14E+03,1.79E+03,1.36E+03,1.89E+03,2.62E+03
FLRT2_HUMAN,5.42E+03,6.54E+03,4.81E+03,5.54E+03,3.36E+03,3.98E+03,3.85E+03,4.18E+03,1.79E+04,1.87E+04,1.67E+04,1.70E+04
TTI1_HUMAN,8.17E+03,1.34E+04,1.34E+04,1.31E+04,6.86E+03,7.70E+03,6.39E+03,9.51E+03,7.68E+03,9.71E+03,1.03E+04,1.19E+04
PLXB1_HUMAN,2.02E+04,2.18E+04,1.99E+04,2.16E+04,8.54E+03,9.02E+03,7.85E+03,9.83E+03,8.73E+03,8.90E+03,8.57E+03,1.04E+04
PJA2_HUMAN,,,,9.73E+02,8.70E+02,1.31E+03,4.44E+02,,,,,1.11E+03
SI1L1_HUMAN,,,,,1.91E+03,1.93E+03,2.59E+03,2.26E+03,6.07E+03,5.09E+03,6.36E+03,8.14E+03
CYB5B_HUMAN,2.86E+04,2.71E+04,2.42E+04,2.30E+04,4.94E+03,5.61E+03,5.18E+03,5.70E+03,6.66E+03,6.63E+03,7.29E+03,8.95E+03
PRP4_HUMAN,2.08E+03,3.97E+03,6.30E+03,4.89E+03,2.17E+03,2.00E+03,2.63E+03,2.46E+03,1.79E+03,2.23E+03,2.29E+03,3.03E+03
SERA_HUMAN,2.79E+04,2.32E+04,1.30E+04,1.45E+04,1.16E+05,1.34E+05,1.10E+05,1.30E+05,8.44E+04,8.80E+04,8.53E+04,8.83E+04
SEPT4_HUMAN,3.17E+03,,4.67E+03,2.74E+03,,,,,5.75E+03,,8.09E+03,9.71E+03
DC1L2_HUMAN,1.71E+04,1.69E+04,1.98E+04,1.99E+04,1.11E+04,1.23E+04,1.06E+04,1.38E+04,1.62E+04,1.50E+04,1.46E+04,1.46E+04
PSMD3_HUMAN,1.99E+04,1.75E+04,2.29E+04,2.06E+04,1.24E+04,1.22E+04,1.36E+04,1.41E+04,1.72E+04,1.79E+04,1.59E+04,1.63E+04
CTR4_HUMAN,,,,,,,,,3.38E+04,3.33E+04,3.27E+04,3.93E+04
PAPS1_HUMAN,6.34E+03,6.75E+03,7.44E+03,9.09E+03,8.79E+03,9.46E+03,9.07E+03,9.71E+03,5.55E+03,4.77E+03,5.33E+03,6.06E+03
ZW10_HUMAN,5.08E+03,4.46E+03,4.47E+03,4.88E+03,6.27E+03,6.67E+03,7.06E+03,7.38E+03,5.82E+03,6.52E+03,6.56E+03,7.13E+03
SNUT1_HUMAN,,,3.13E+04,3.20E+04,,3.57E+03,,5.48E+03,,1.32E+04,2.08E+04,1.97E+04
TGFI1_HUMAN,1.33E+03,,2.17E+03,2.99E+03,,,2.26E+03,,,,,2.33E+03
AP5Z1_HUMAN,2.89E+03,3.04E+03,5.30E+03,4.50E+03,1.37E+03,1.04E+03,2.03E+03,2.52E+03,1.19E+03,1.42E+03,1.72E+03,2.05E+03
HS12A_HUMAN,6.78E+02,1.66E+03,1.93E+03,2.37E+03,5.34E+03,6.35E+03,6.35E+03,7.15E+03,2.04E+03,2.86E+03,2.91E+03,3.02E+03
ADCY6_HUMAN,5.42E+03,6.02E+03,3.74E+03,4.56E+03,6.17E+03,7.51E+03,8.01E+03,9.50E+03,1.34E+04,1.46E+04,1.79E+04,1.98E+04
MTSS1_HUMAN,7.50E+03,4.37E+03,9.10E+03,,,4.33E+03,1.36E+03,,4.84E+04,5.02E+04,6.52E+04,6.92E+04
VIP2_HUMAN,1.18E+04,9.99E+03,1.12E+04,1.20E+04,6.03E+03,6.80E+03,6.27E+03,8.37E+03,6.88E+03,6.93E+03,7.50E+03,8.38E+03
M3K7_HUMAN,3.05E+03,5.21E+03,1.31E+03,1.59E+03,2.08E+03,2.42E+03,1.81E+03,2.02E+03,1.15E+03,1.28E+03,8.11E+02,1.49E+03
MCA3_HUMAN,3.74E+04,3.22E+04,3.71E+04,3.76E+04,1.26E+04,1.21E+04,1.61E+04,1.47E+04,3.12E+04,2.73E+04,3.47E+04,3.91E+04
RIPK2_HUMAN,,4.19E+03,6.06E+03,6.13E+03,4.82E+03,4.99E+03,3.89E+03,5.50E+03,5.56E+03,7.77E+03,6.57E+03,7.38E+03
RASL2_HUMAN,1.51E+03,1.87E+03,9.50E+02,1.69E+03,,7.01E+02,,,,,,
HNRPR_HUMAN,8.33E+04,9.04E+04,9.36E+04,9.14E+04,1.62E+04,1.56E+04,2.11E+04,2.25E+04,1.83E+04,2.00E+04,3.61E+04,3.81E+04
HNRPR_HUMAN,,,1.20E+03,,,,,,,,2.92E+03,
TXNL1_HUMAN,3.47E+04,3.58E+04,4.11E+04,3.85E+04,2.10E+04,2.39E+04,2.37E+04,2.56E+04,1.39E+04,1.45E+04,1.40E+04,1.41E+04
TPD54_HUMAN,,,,,2.71E+03,3.32E+03,3.26E+03,3.09E+03,3.05E+03,2.16E+03,3.01E+03,3.72E+03
TPD54_HUMAN,1.15E+04,1.37E+04,1.90E+04,1.76E+04,4.46E+04,4.71E+04,4.42E+04,4.94E+04,3.23E+04,3.24E+04,3.37E+04,4.20E+04
EMC8_HUMAN,8.60E+03,6.60E+03,7.60E+03,5.96E+03,,8.38E+03,,6.92E+03,,,,5.76E+03
FIBP_HUMAN,7.62E+03,1.00E+04,7.09E+03,7.51E+03,2.05E+04,2.28E+04,2.09E+04,2.36E+04,1.06E+04,1.09E+04,1.34E+04,1.35E+04
IF4G3_HUMAN,,,,3.29E+03,,,,,,,,
PPIH_HUMAN,6.84E+03,,7.77E+03,8.90E+03,1.19E+04,1.12E+04,1.29E+04,1.55E+04,7.21E+03,6.20E+03,7.02E+03,8.03E+03
HTRA2_HUMAN,,,,,,,,,2.45E+03,2.29E+03,1.34E+03,
ARK72_HUMAN,1.43E+04,9.93E+03,1.20E+04,1.16E+04,1.69E+04,1.79E+04,1.69E+04,1.94E+04,1.40E+04,1.53E+04,1.61E+04,1.69E+04
E41L2_HUMAN,2.60E+05,2.62E+05,2.60E+05,2.63E+05,3.19E+05,3.55E+05,2.91E+05,3.47E+05,2.47E+05,2.68E+05,2.90E+05,3.34E+05
E41L2_HUMAN,2.64E+04,1.59E+04,2.34E+04,2.53E+04,3.54E+04,3.98E+04,2.84E+04,3.29E+04,4.54E+04,4.72E+04,4.74E+04,6.25E+04
TGON2_HUMAN,2.69E+04,2.41E+04,2.61E+04,2.85E+04,4.61E+03,5.29E+03,7.66E+03,1.07E+04,1.13E+04,1.22E+04,1.82E+04,2.09E+04
LTOR5_HUMAN,8.39E+03,8.28E+03,1.27E+04,1.41E+04,5.02E+03,7.33E+03,6.37E+03,1.01E+04,7.35E+03,8.70E+03,7.17E+03,9.58E+03
B4GA1_HUMAN,1.05E+04,6.86E+03,6.00E+03,6.62E+03,3.03E+03,4.69E+03,5.42E+03,6.45E+03,6.37E+03,7.40E+03,7.01E+03,7.70E+03
WIPF1_HUMAN,9.98E+03,1.13E+04,1.36E+04,1.32E+04,2.73E+04,2.63E+04,2.56E+04,2.80E+04,3.68E+03,4.70E+03,5.18E+03,4.44E+03
SGCE_HUMAN,1.34E+04,1.41E+04,1.52E+04,1.45E+04,4.81E+03,4.89E+03,3.98E+03,5.19E+03,1.23E+04,1.17E+04,1.24E+04,1.52E+04
RNF13_HUMAN,5.17E+04,5.92E+04,8.33E+04,8.09E+04,8.07E+03,7.18E+03,1.21E+04,1.17E+04,5.74E+03,4.85E+03,8.22E+03,1.15E+04
AKA10_HUMAN,4.52E+03,4.33E+03,4.35E+03,3.95E+03,1.60E+03,2.27E+03,2.50E+03,2.35E+03,2.81E+03,2.43E+03,1.97E+03,1.93E+03
SYT7_HUMAN,,,3.01E+03,3.25E+03,,,,,2.07E+03,2.13E+03,2.03E+03,2.20E+03
DENR_HUMAN,7.86E+03,1.06E+04,1.10E+04,1.05E+04,2.13E+04,2.21E+04,1.73E+04,2.04E+04,1.70E+04,1.84E+04,1.96E+04,2.37E+04
XPOT_HUMAN,4.00E+03,4.87E+03,5.80E+03,4.64E+03,9.50E+03,1.17E+04,1.17E+04,1.29E+04,9.30E+03,9.90E+03,1.02E+04,1.10E+04
